key,value
26 de Octubre,0
Acocro,1
Aguas Verdes,2
Amotape,3
Anco,4
Arenal,5
Ascope,6
Ate,7
Ayabaca,8
Ayacucho,9
Bambamarca,10
Bellavista,11
Bellavista de la Unión,12
Bernal,13
Buenos Aires,14
Cajabamba,15
Cajamarca,16
Canchaque,17
Canoas de Punta Sal,18
Caraz,19
Carhuamayo,20
Casitas,21
Casma,22
Castilla,23
Catac,24
Catacaos,25
Cayalti,26
Celendin,27
Chalaco,28
Chepen,29
Chiclayo,30
Chota,31
Chulucanas,32
Chupaca,33
Chuquis,34
Chuschi,35
Colán,36
Corrales,37
Cristo Nos Valga,38
Cuenca,39
Cura Mori,40
Cutervo,41
El Alto,42
El Carmen de la Frontera,43
El Porvenir,44
El Tallán,45
El carmen,46
Eten,47
Frias,48
Guadalupito,49
Huachis,50
Huancabamba,51
Huancayo,52
Huanchaco,53
Huanta,54
Huanuco,55
Huaraz,56
Huarmaca,57
Huarmey,58
Huaso,59
Huaylas,60
Ignacio Escudero,61
Jaen,62
Jayanca,63
Jesus Maria,64
Jililí,65
José leonardo ortíz,66
La Arena,67
La Brea,68
La Cruz,69
La Esperanza,70
La Huaca,71
La Matanza,72
La Unión,73
La Victoria,74
La victoria,75
Lagunas,76
Lalaquiz,77
Lambayeque,78
Lancones,79
Laredo,80
Las Lomas,81
Lima,82
Lircay,83
Lobitos,84
Los Organos,85
Lucma,86
Luya,87
Magdalena del Mar,88
Marcavelica,89
Mariano damaso beraun,90
Matapalo,91
Miguel Checa,92
Miraflores,93
Moche,94
Monsefu,95
Montero,96
Monzon,97
Morropón,98
Motupe,99
Máncora,100
Nuevo chimbote,101
Ocros,102
Olmos,103
Otuzco,104
Oxapampa,105
Oyotun,106
PILLCO MARCA,107
Pacaipampa,108
Pacasmayo,109
Paijan,110
Paimas,111
Paita,112
Pampas Grande,113
Pampas de Hospital,114
Papayal,115
Pariñas,116
Parobamba,117
Picsi,118
Pimentel,119
Pitipo,120
Piura,121
Pomabamba,122
Pueblo nuevo,123
Querecotillo,124
Razuri,125
Reque,126
Rinconada Llicuar,127
Rio Negro,128
Rupa-rupa,129
Salaverry,130
Salitral,131
San Borja,132
San Isidro,133
San Jacinto,134
San Juan de Bigote,135
San Juan de la Virgen,136
San Miguel de El Faique,137
San jeronimo de tunan,138
San jose,139
San juan bautista,140
San miguel de mayocc,141
San pedro de chaulan,142
San pedro de lloc,143
Santa Catalina de Mossa,144
Santa Rosa de Sacco,145
Santiago de Cao,146
Santiago de Surco,147
Santo Domingo,148
Sapillica,149
Sechura,150
Sondorillo,151
Sullana,152
Surcubamba,153
Suyo,154
Sícchez,155
Sóndor,156
Tamarindo,157
Tambogrande,158
Tapuc,159
Tarma,160
Tayabamba,161
Trujillo,162
Tucume,163
Tuman,164
Tumbes,165
Vice,166
Vichayal,167
Victor Larco Herrera,168
Vinchos,169
Vischongo,170
Yamango,171
Yauli,172
Zarumilla,173
Zorritos,174
